ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
43160280,2023-09-13T12:54:33,2023-09-13T13:55:40,sell,0.02,XAUUSDm,1912.402,1912.183,1916,1900,0,0,0.43,,,user
43152115,2023-09-13T12:38:42,2023-09-13T12:51:13,sell,0.02,XAUUSDm,1910.065,1913.973,1916,1895,0,0,-7.82,,,user
43147564,2023-09-13T12:33:11,2023-09-13T12:51:12,sell,0.02,XAUUSDm,1909.205,1913.938,1916,1900,0,0,-9.47,,,user
43146378,2023-09-13T12:31:14,2023-09-13T12:51:11,sell,0.02,XAUUSDm,1906.213,1914.002,1916,1900,0,0,-15.57,,,user
43021387,2023-09-12T11:15:54,2023-09-13T12:30:02,buy,0.02,XAUUSDm,1915.112,1907,1907,1921,0,0,-16.22,,,sl
43021454,2023-09-12T11:16:43,2023-09-13T12:30:02,buy,0.02,XAUUSDm,1914.895,1907,1907,1919.222,0,0,-15.79,,,sl
43021956,2023-09-12T11:20:56,2023-09-13T12:30:02,buy,0.02,XAUUSDm,1914.239,1907,1907,1919.222,0,0,-14.48,,,sl
43116742,2023-09-13T08:03:42,2023-09-13T09:06:08,buy,0.02,GBPUSDm,1.24706,1.2486,1.2396,1.2486,0,0,3.08,,,tp
42917531,2023-09-11T13:27:54,2023-09-11T14:02:19,sell,0.01,XAUUSDm,1929.27,1925.362,1933,1920,0,0,3.91,,,user
42917446,2023-09-11T13:27:11,2023-09-11T14:02:17,sell,0.01,XAUUSDm,1929.336,1925.368,1933,1916,0,0,3.97,,,user
42917526,2023-09-11T13:27:51,2023-09-11T14:02:17,sell,0.02,XAUUSDm,1929.353,1925.3700000000001,1933,1920,0,0,7.97,,,user
42466293,2023-09-05T17:18:00,2023-09-06T14:00:27,sell,0.01,EURGBPm,0.8532200000000001,0.85716,0.8582,0.85,0,0,-4.92,-0.40000000000000124,-23.4,so
42466294,2023-09-05T17:18:02,2023-09-06T14:00:27,sell,0.01,EURGBPm,0.8532200000000001,0.85716,0.8582,0.85,0,0,-4.92,-0.40000000000000036,-23.4,so
42497656,2023-09-06T06:43:18,2023-09-06T14:00:27,buy,0.01,AUDUSDm,0.63887,0.63739,0.6343,0.6463,0,0,-1.48,-0.4,-23.4,so
42498213,2023-09-06T06:47:04,2023-09-06T14:00:27,buy,0.01,AUDUSDm,0.6390100000000001,0.63739,0.6343,0.6463,0,0,-1.62,-0.39999999999999947,-23.4,so
42498684,2023-09-06T07:15:09,2023-09-06T13:30:17,buy,0.01,GBPJPYm,185.21,184.65,184.65,186,0,0,-3.8,,,sl
42498580,2023-09-06T07:15:09,2023-09-06T13:30:17,buy,0.01,GBPJPYm,185.21,184.65,184.65,186,0,0,-3.8,,,sl
41300325,2023-08-22T14:30:06,2023-08-23T01:18:26,sell,0.01,XAUUSDm,1891.743,1900.521,1901,1880,0,0,-8.78,-0.22999999999999954,-12.1,so
41298026,2023-08-22T14:49:52,2023-08-23T01:18:26,sell,0.01,XAUUSDm,1895.011,1900.521,1901,1887,0,0,-5.51,-0.23,-24.3,so
41298618,2023-08-22T15:08:56,2023-08-22T16:08:11,sell,0.01,XAUUSDm,1897.5130000000001,1898.805,1901,1895,0,0,-1.3,,,user
41298123,2023-08-22T14:49:52,2023-08-22T14:50:05,sell,0.01,XAUUSDm,1895.011,1895,1901,1895,0,0,0.01,,,tp
41278732,2023-08-22T12:50:01,2023-08-22T13:54:29,buy,0.01,XAUUSDm,1898.2450000000001,1890,1890,1904,0,0,-8.25,,,sl
41278951,2023-08-22T12:51:18,2023-08-22T13:54:29,buy,0.01,XAUUSDm,1897.929,1890,1890,1904,0,0,-7.93,,,sl
41278112,2023-08-22T12:47:00,2023-08-22T12:52:47,sell,0.01,XAUUSDm,1897.1670000000001,1897.075,0,0,0,0,0.09,,,user
41175681,2023-08-21T14:14:34,2023-08-21T15:29:06,buy,0.01,XAUUSDm,1889.0320000000002,1888.8890000000001,1883,1897,0,0,-0.14,,,user
41159962,2023-08-21T13:02:13,2023-08-21T13:40:00,sell,0.01,XAUUSDm,1898.026,1892.21,1905,1891,0,0,5.82,,,user
41150030,2023-08-21T12:00:28,2023-08-21T12:51:39,sell,0.01,XAUUSDm,1893.269,1896.962,1905,1886,0,0,-3.69,,,user
41148116,2023-08-21T11:49:57,2023-08-21T12:51:37,sell,0.01,XAUUSDm,1892.005,1896.94,1905,1886,0,0,-4.93,,,user
39415054,2023-07-31T18:02:52,2023-08-01T15:03:08,sell,0.01,EURUSDm,1.1004500000000002,1.09825,1.1055,1.09,0,0,2.2,-0.16999999999999993,-10.3,so
39415060,2023-07-31T18:03:00,2023-08-01T15:03:08,sell,0.01,EURUSDm,1.1005200000000002,1.09825,1.1055,1.0802,0,0,2.27,-0.17,-10.3,so
39415156,2023-07-31T18:04:32,2023-08-01T15:03:08,sell,0.01,EURUSDm,1.10039,1.09825,1.1055,1.08082,0,0,2.14,-0.16999999999999904,-10.3,so
39513990,2023-08-01T14:09:46,2023-08-01T14:33:41,buy,0.01,XAUUSDm,1947.24,1944.325,1942,1953,0,0,-2.91,,,user
39512737,2023-08-01T14:05:48,2023-08-01T14:32:58,buy,0.01,XAUUSDm,1949.201,1944.112,1938,1954,0,0,-5.09,,,user
39488577,2023-08-01T11:45:24,2023-08-01T12:46:53,buy,0.01,XAUUSDm,1953.968,1947.893,1947,1960,0,0,-6.08,,,user
39488571,2023-08-01T11:45:22,2023-08-01T12:46:47,buy,0.01,XAUUSDm,1953.948,1947.818,1947,1963,0,0,-6.13,,,user
39374486,2023-07-31T12:35:14,2023-07-31T13:34:54,sell,0.01,XAUUSDm,1963.838,1968.319,1971,1955,0,0,-4.48,-0.41999999999999993,-10.7,so
39374489,2023-07-31T12:35:15,2023-07-31T13:34:54,sell,0.01,XAUUSDm,1963.902,1968.319,1971,1955,0,0,-4.42,-0.41999999999999993,-10.7,so
39374492,2023-07-31T12:35:16,2023-07-31T13:34:54,sell,0.01,XAUUSDm,1963.941,1968.319,1971,1955,0,0,-4.38,-0.42,-10.7,so
39374695,2023-07-31T12:36:19,2023-07-31T13:34:54,sell,0.01,XAUUSDm,1963.731,1968.319,1971,1955,0,0,-4.59,-0.41999999999999993,-10.7,so
39243797,2023-07-28T10:34:08,2023-07-28T12:25:53,sell,0.01,XAUUSDm,1953.603,1955.443,1961,1947,0,0,-1.84,,,user
39229874,2023-07-28T08:19:08,2023-07-28T09:22:12,buy,0.01,GBPCADm,1.69303,1.6951100000000001,1.6891,1.6962,0,0,1.57,,,user
39230429,2023-07-28T08:34:27,2023-07-28T09:18:10,buy,0.01,GBPUSDm,1.2801,1.2809300000000001,1.2771,1.2831,0,0,0.83,,,user
39104722,2023-07-27T09:06:47,2023-07-27T12:30:12,buy,0.01,XAUUSDm,1976.037,1969,1969,1980,0,0,-7.04,,,sl
39022201,2023-07-26T15:31:19,2023-07-26T18:08:19,sell,0.01,XAUUSDm,1972.836,1970.181,1981,1962,0,0,2.66,,,user
39016649,2023-07-26T14:55:10,2023-07-26T15:26:20,sell,0.01,XAUUSDm,1968.698,1975,1975,1963,0,0,-6.3,,,sl
39016669,2023-07-26T14:55:17,2023-07-26T15:26:20,sell,0.01,XAUUSDm,1968.778,1975,1975,1963,0,0,-6.22,,,sl
39016677,2023-07-26T14:55:19,2023-07-26T15:26:20,sell,0.01,XAUUSDm,1968.784,1975,1975,1963,0,0,-6.22,,,sl
38884148,2023-07-25T13:18:10,2023-07-25T15:08:23,sell,0.01,XAUUSDm,1957.454,1965,1965,1948,0,0,-7.55,,,sl
38884149,2023-07-25T13:18:11,2023-07-25T15:08:23,sell,0.01,XAUUSDm,1957.492,1965,1965,1946,0,0,-7.51,,,sl
38884158,2023-07-25T13:18:14,2023-07-25T15:08:23,sell,0.01,XAUUSDm,1957.5420000000001,1965,1965,1946,0,0,-7.46,,,sl
38884167,2023-07-25T13:18:17,2023-07-25T15:08:23,sell,0.01,XAUUSDm,1957.631,1965,1965,1946,0,0,-7.37,,,sl
38884169,2023-07-25T13:18:18,2023-07-25T15:08:23,sell,0.01,XAUUSDm,1957.631,1965,1965,1946,0,0,-7.37,,,sl
38874875,2023-07-25T12:15:45,2023-07-25T13:13:38,sell,0.01,XAUUSDm,1960.904,1957.296,1968,1950,0,0,3.6,,,user
38874878,2023-07-25T12:15:46,2023-07-25T13:13:35,sell,0.01,XAUUSDm,1960.904,1957.115,1968,1952,0,0,3.78,,,user
38874880,2023-07-25T12:15:47,2023-07-25T13:13:33,sell,0.01,XAUUSDm,1960.842,1957.106,1968,1952,0,0,3.73,,,user
38874883,2023-07-25T12:15:47,2023-07-25T13:13:27,sell,0.01,XAUUSDm,1960.842,1957.141,1968,1952,0,0,3.7,,,user
38874886,2023-07-25T12:15:48,2023-07-25T13:13:18,sell,0.01,XAUUSDm,1960.8410000000001,1957.594,1968,1952,0,0,3.25,,,user
38874351,2023-07-25T12:12:11,2023-07-25T12:15:05,sell,0.01,HK50m,19499.100000000002,19523.4,0,0,0,0,-0.03,,,user
38874354,2023-07-25T12:12:13,2023-07-25T12:15:01,sell,0.01,HK50m,19498.4,19524.4,0,0,0,0,-0.03,,,user
38874376,2023-07-25T12:12:19,2023-07-25T12:14:57,sell,0.01,HK50m,19498.2,19526.2,0,0,0,0,-0.04,,,user
38874382,2023-07-25T12:12:21,2023-07-25T12:14:55,sell,0.01,HK50m,19498.2,19526.2,0,0,0,0,-0.04,,,user
38874389,2023-07-25T12:12:22,2023-07-25T12:14:51,sell,0.01,HK50m,19498.2,19526.2,0,0,0,0,-0.04,,,user
38772396,2023-07-24T13:46:39,2023-07-24T18:30:07,sell,0.01,XAUUSDm,1965.04,1955.663,1972,1953,0,0,9.38,,,user
38772349,2023-07-24T13:46:30,2023-07-24T18:30:01,sell,0.01,XAUUSDm,1965.882,1955.596,1972,1953,0,0,10.28,,,user
